activityId,activityName,activityType,processInstanceId,taskId,assignee,startTime,endTime,durationInMillis,tenantId
Activity_00bcljh,Packaging and shipping,userTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,f28af0a8-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:16:22.22,2020-12-16 22:16:54.54,31190,demo
Activity_00jxdls,Define OrderType,userTask,2f0f5cb3-37bb-11eb-9653-92effa0cc9b6,2f0faad6-37bb-11eb-9653-92effa0cc9b6,demo,2020-12-06 13:04:25.25,2020-12-06 13:04:42.42,16553,demo
Activity_0cctmb9,Release Medicine,userTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,d1316369-3f15-11eb-9593-2ee820bf2e10,demo,2020-12-15 21:40:50.50,2020-12-15 21:41:12.12,21431,demo
Activity_0cctmb9,Release Medicine,userTask,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,6a2926f6-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:12:34.34,2020-12-16 22:12:40.40,6226,demo
Activity_0cctmb9,Release Medicine,userTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,ff77ac4a-3f18-11eb-9593-2ee820bf2e10,demo,2020-12-15 22:03:36.36,2020-12-15 22:03:59.59,22985,demo
Activity_0cq0f2q,Call API,serviceTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:37:17.17,2020-12-15 21:37:19.19,2073,demo
Activity_0cq0f2q,Call API,serviceTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:59:32.32,2020-12-15 21:59:34.34,2011,demo
Activity_0j573sa,Release Medicine,userTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,ee9f1069-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:16:16.16,2020-12-16 22:16:22.22,6573,demo
Activity_0j573sa,Release Medicine,userTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,142a7f0a-3fe2-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:03:00.00,2020-12-16 22:03:15.15,15305,demo
Activity_0jq5mu8,Calculate Price and Working hours,userTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,c5a833b0-3f15-11eb-9593-2ee820bf2e10,demo,2020-12-15 21:40:31.31,2020-12-15 21:40:50.50,19352,demo
Activity_0jq5mu8,Calculate Price and Working hours,userTask,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,6140e0e9-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:12:19.19,2020-12-16 22:12:34.34,14941,demo
Activity_0jq5mu8,Calculate Price and Working hours,userTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,ef386e9d-3f18-11eb-9593-2ee820bf2e10,demo,2020-12-15 22:03:09.09,2020-12-15 22:03:36.36,27256,demo
Activity_0mow97z,Calculate AMBV risk value,userTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,733a3721-3f15-11eb-9593-2ee820bf2e10,demo,2020-12-15 21:38:12.12,2020-12-15 21:39:50.50,97221,demo
Activity_0mow97z,Calculate AMBV risk value,userTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,b7da604d-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:14:44.44,2020-12-16 22:15:10.10,26442,demo
Activity_0mow97z,Calculate AMBV risk value,userTask,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,3cafeb7a-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:11:17.17,2020-12-16 22:11:55.55,37878,demo
Activity_0mow97z,Calculate AMBV risk value,userTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,e0c76f7e-3fe1-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:01:34.34,2020-12-16 22:02:01.01,27558,demo
Activity_0mow97z,Calculate AMBV risk value,userTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,88875f6d-3f18-11eb-9593-2ee820bf2e10,demo,2020-12-15 22:00:17.17,2020-12-15 22:02:10.10,113193,demo
Activity_0rz68uo,POST AMBV details,serviceTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:39:50.50,2020-12-15 21:39:53.53,3347,demo
Activity_0rz68uo,POST AMBV details,serviceTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:15:10.10,2020-12-16 22:15:22.22,11704,demo
Activity_0rz68uo,POST AMBV details,serviceTask,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:11:55.55,2020-12-16 22:11:57.57,2102,demo
Activity_0rz68uo,POST AMBV details,serviceTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:02:01.01,2020-12-16 22:02:20.20,19199,demo
Activity_0rz68uo,POST AMBV details,serviceTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 22:02:10.10,2020-12-15 22:02:14.14,3804,demo
Activity_0tqwohl,Compose message to client,userTask,83468421-3fe1-11eb-9139-ae3f3df38a4e,bbfca42d-3fe1-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:00:32.32,2020-12-16 22:00:51.51,18880,demo
Activity_0uc8qqv,Provide AMBV details,serviceTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:39:53.53,2020-12-15 21:39:55.55,1498,demo
Activity_0uc8qqv,Provide AMBV details,serviceTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:15:22.22,2020-12-16 22:15:28.28,5425,demo
Activity_0uc8qqv,Provide AMBV details,serviceTask,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:11:57.57,2020-12-16 22:11:59.59,1701,demo
Activity_0uc8qqv,Provide AMBV details,serviceTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:02:20.20,2020-12-16 22:02:28.28,7903,demo
